Date,Open,High,Low,Close,Volume,Adj Close
2014-05-09,510.75,519.90,504.20,518.73,2431800,518.73
2014-05-08,508.46,517.23,506.45,511.00,2015800,511.00
2014-05-07,515.79,516.68,503.30,509.96,3215500,509.96
2014-05-06,525.23,526.81,515.06,515.14,1684400,515.14
2014-05-05,524.82,528.90,521.32,527.81,1021300,527.81
2014-05-02,533.76,534.00,525.61,527.93,1683900,527.93
2014-05-01,527.11,532.93,523.88,531.35,1900300,531.35
2014-04-30,527.60,528.00,522.52,526.66,1746400,526.66
2014-04-29,516.90,529.46,516.32,527.70,2691700,527.70
2014-04-28,517.18,518.60,502.80,517.15,3326400,517.15
2014-04-25,522.51,524.70,515.42,516.18,2094600,516.18
2014-04-24,530.07,531.65,522.12,525.16,1878000,525.16
2014-04-23,533.79,533.87,526.25,526.94,2046700,526.94
2014-04-22,528.64,537.23,527.51,534.81,2358900,534.81
2014-04-21,536.10,536.70,525.60,528.62,2559700,528.62
2014-04-17,548.81,549.50,531.15,536.10,6790900,536.10
2014-04-16,543.00,557.00,540.00,556.54,4879900,556.54
2014-04-15,536.82,538.45,518.46,536.44,3844500,536.44
2014-04-14,538.25,544.10,529.56,532.52,2568000,532.52
2014-04-11,532.55,540.00,526.53,530.60,3914100,530.60
2014-04-10,565.00,565.00,539.90,540.95,4025800,540.95
2014-04-09,559.62,565.37,552.95,564.14,3321700,564.14
2014-04-08,542.60,555.00,541.61,554.90,3142600,554.90
2014-04-07,540.74,548.48,527.15,538.15,4389600,538.15
2014-04-04,574.65,577.77,543.00,543.14,6351900,543.14
2014-04-03,569.85,587.28,564.13,569.74,5085200,569.74
2014-04-02,599.99,604.83,562.19,567.00,146700,567.00
2014-04-01,558.71,568.45,558.71,567.16,7900,567.16
2014-03-31,566.89,567.00,556.93,556.97,10800,556.97
2014-03-28,561.20,566.43,558.67,559.99,41100,559.99
2014-03-27,568.00,568.00,552.92,558.46,13100,558.46
